timestamp,sensor_id,pipe_id,zone_id,pressure_current,pressure_previous_sensor,flow_rate,water_usage_diff,pressure_drop_rate,hour,minute,day_of_week,is_working_hours,is_break_time,break_type,expected_usage_multiplier,minutes_since_break_start,occupancy_level,pressure_current_vs_baseline,flow_rate_vs_baseline,is_leak,leak_severity,leak_type
2024-01-01 00:00:00,1,1,1,46.54,49.67,1.48,0.50,-0.03,0,0,1,0,0,none,0.21,0,0.08,1.54,-10.52,0,0,none
2024-01-01 00:00:00,2,1,1,46.93,50.81,1.00,0.52,-0.01,0,0,1,0,0,none,0.17,0,0.12,1.93,-11.00,0,0,none
2024-01-01 00:00:00,3,2,1,46.55,49.69,2.41,0.46,-0.11,0,0,1,0,0,none,0.23,0,0.13,1.55,-9.59,0,0,none
2024-01-01 00:00:00,4,2,1,45.94,49.86,1.68,0.49,-0.11,0,0,1,0,0,none,0.23,0,0.13,0.94,-10.32,0,0,none
2024-01-01 00:00:00,5,3,2,46.50,49.91,2.25,0.47,-0.12,0,0,1,0,0,none,0.22,0,0.08,1.50,-9.75,0,0,none
2024-01-01 00:01:00,1,1,1,46.17,50.27,1.12,0.52,-0.09,0,1,1,0,0,none,0.19,0,0.09,1.17,-10.88,0,0,none
2024-01-01 00:01:00,2,1,1,46.05,49.10,2.02,0.48,-0.10,0,1,1,0,0,none,0.25,0,0.12,1.05,-9.98,0,0,none
2024-01-01 00:01:00,3,2,1,46.70,50.39,1.15,0.51,-0.09,0,1,1,0,0,none,0.17,0,0.15,1.70,-10.85,0,0,none
2024-01-01 00:01:00,4,2,1,46.05,49.81,1.78,0.49,-0.03,0,1,1,0,0,none,0.21,0,0.10,1.05,-10.22,0,0,none
2024-01-01 00:01:00,5,3,2,46.57,50.36,1.48,0.50,-0.06,0,1,1,0,0,none,0.16,0,0.12,1.57,-10.52,0,0,none
2024-01-01 00:02:00,1,1,1,46.44,50.09,0.75,0.53,-0.20,0,2,1,0,0,none,0.15,0,0.13,1.44,-11.25,0,0,none
2024-01-01 00:02:00,2,1,1,46.48,50.44,2.06,0.48,-0.08,0,2,1,0,0,none,0.24,0,0.10,1.48,-9.94,0,0,none
2024-01-01 00:02:00,3,2,1,32.21,36.53,23.85,5.95,-3.80,0,2,1,0,0,none,0.23,0,0.12,-12.79,11.85,1,3,continuous
2024-01-01 00:02:00,4,2,1,46.47,50.11,1.94,0.48,-0.12,0,2,1,0,0,none,0.23,0,0.13,1.47,-10.06,0,0,none
2024-01-01 00:02:00,5,3,2,46.02,49.20,1.73,0.49,-0.10,0,2,1,0,0,none,0.22,0,0.09,1.02,-10.27,0,0,none
2024-01-01 00:03:00,1,1,1,46.76,51.05,1.81,0.49,-0.05,0,3,1,0,0,none,0.21,0,0.10,1.76,-10.19,0,0,none
2024-01-01 00:03:00,2,1,1,46.30,50.51,1.58,0.50,-0.05,0,3,1,0,0,none,0.22,0,0.09,1.30,-10.42,0,0,none
2024-01-01 00:03:00,3,2,1,32.47,35.98,23.13,5.93,-4.00,0,3,1,0,0,none,0.19,0,0.11,-12.53,11.13,1,3,continuous
2024-01-01 00:03:00,4,2,1,46.19,49.26,0.92,0.52,-0.01,0,3,1,0,0,none,0.19,0,0.10,1.19,-11.08,0,0,none
2024-01-01 00:03:00,5,3,2,46.59,49.68,2.27,0.47,-0.19,0,3,1,0,0,none,0.25,0,0.14,1.59,-9.73,0,0,none
2024-01-01 00:04:00,1,1,1,46.41,50.49,1.51,0.50,-0.08,0,4,1,0,0,none,0.18,0,0.13,1.41,-10.49,0,0,none
